S,B,latency_s,peak_memory_bytes,energy_j,status,energy_method,energy_j_from_counter,energy_j_from_power,is_validation,repeats,latency_repeats,latency_window_s,warmup_repeats,warmup_window_s,oom_retries,latency_mad_s,power_samples,distinct_power_readings,power_window_s,free_memory_bytes_before,gpu_temp_c_before,gpu_temp_c_after,sm_clock_mhz_before,sm_clock_mhz_after,power_w_before,power_w_after,measurement_warning,trial_count,latency_trial_mad_s,energy_trial_mad_j,peak_memory_range_bytes
32,16,0.00045167199999696095,14843904,0.030927527311894135,ok,nvml_counter,0.030927527311894135,0.03093018964672735,0,19414,3187,0.5001201879999826,3200,0.5003629349999983,0,7.860000039272563e-06,396,13,3.0004232459999685,15471542272,76.0,77.0,1590.0,1590.0,42.094,66.734,,3,4.2049998683069134e-07,5.5606883432011284e-05,0
64,32,0.0009671024999988731,22642688,0.06373631357304826,ok,nvml_counter,0.06373631357304826,0.06521694961185591,0,9271,1543,0.5001891900000146,1558,0.5002726590000748,0,8.324500015532976e-06,384,19,3.0005642520000038,15471542272,76.0,76.0,1575.0,1275.0,42.192,66.89,,3,1.2580000543493952e-06,4.8833793041797025e-05,0
448,33,0.0367736179999838,781844480,2.4019146341463413,ok,nvml_counter,2.4019146341463413,2.45427130344205,1,246,60,0.7385388980000016,60,0.7307430979999481,0,0.00021365149996199762,371,21,3.0207969379999895,15471542272,75.0,75.0,1515.0,855.0,44.758,48.648,,3,1.1580999910165701e-05,0.00318292682926824,0
272,64,0.025164989000018068,451387392,1.6877768595041323,ok,nvml_counter,1.6877768595041323,1.6844527326268335,1,361,61,0.5065521400000534,63,0.5167977520000022,0,0.0001472524999712732,367,16,3.021006290999935,15471542272,75.0,76.0,1530.0,825.0,41.699,67.731,,3,0.00015972149998333407,0.012148140495867876,0
112,2,0.0005370169999423524,24725504,0.03814396313364055,ok,nvml_counter,0.03814396313364055,0.03780196888741566,1,16306,2714,0.5004396759999281,2733,0.5000377160000653,0,9.88299996151909e-06,384,20,3.000391172000036,15471542272,76.0,78.0,1575.0,1455.0,41.032,69.159,,3,1.4500005818263162e-07,0.00010909582075321889,0
512,64,0.08585031149999622,1553596416,5.657916666666667,ok,nvml_counter,5.657916666666667,5.717669903903668,0,108,60,1.714604381000072,60,1.7049454770000239,0,0.0008340100000054917,372,22,3.0740540740000597,15471542272,77.0,77.0,1560.0,825.0,41.822,51.672,,3,9.250500005464346e-05,0.011444444444444812,0
448,4,0.004718520499977785,68780032,0.30625511811023626,ok,nvml_counter,0.30625511811023626,0.3144772031996634,1,1905,318,0.5038410969999632,325,0.5029864840000755,0,3.524499999230102e-05,376,18,3.0017343380000057,15471542272,76.0,77.0,1560.0,945.0,45.323,53.511,,3,9.561500007748691e-06,0.00012304263853818442,0
272,8,0.0035426384999937,53977088,0.23750117924528302,ok,nvml_counter,0.23750117924528302,0.2347917375949161,1,2539,424,0.5008365159999357,430,0.5011194840000144,0,9.853000051407435e-06,378,19,3.0022151869999334,15471542272,76.0,77.0,1560.0,960.0,40.167,65.712,,3,1.7905000504470081e-06,7.210680672642411e-05,0
384,128,0.14492334100003745,1699840000,9.667761904761905,ok,nvml_counter,9.667761904761905,9.679836365598849,0,63,60,2.901912427999946,60,2.9039128430000574,0,0.0004167870000628682,363,21,3.0442729639999015,15471542272,76.0,76.0,1545.0,780.0,37.795,69.3,,3,0.00013042350002478997,0.004571428571429337,0
368,2,0.0017542449999154996,32489472,0.1145750441436139,ok,nvml_counter,0.1145750441436139,0.11744873489489141,1,5106,854,0.5006452620000346,864,0.5013971750001929,0,9.19650005926087e-06,381,20,3.0006532600000355,15471542272,77.0,78.0,1560.0,1050.0,40.242,54.594,,3,4.2700014546426246e-07,0.00010594467333725766,0
512,33,0.04727964450012223,1028751360,3.17278125,ok,nvml_counter,3.17278125,3.158855056559381,1,192,60,0.9461757699998543,60,0.938347279999789,0,0.00020443250002699642,366,21,3.021856138999965,15471542272,77.0,77.0,1560.0,855.0,39.452,66.988,,3,2.0099998891964788e-06,0.0024687500000002416,0
64,4,0.0005024299999831783,24903680,0.035588963383187205,ok,nvml_counter,0.035588963383187205,0.035366316533717114,0,17446,2938,0.5000436570001057,2904,0.5002535849998822,0,5.396999995355145e-06,388,20,3.000152369000034,15471542272,77.0,77.0,1575.0,1485.0,41.501,67.675,,3,2.57500005318434e-07,5.0505307514880915e-05,0
368,4,0.0033468274999677305,50565120,0.21708565072302557,ok,nvml_counter,0.21708565072302557,0.2224853014356153,1,2697,450,0.5016498539998793,457,0.5008612079998329,0,3.7301500015018973e-05,375,18,3.001456812000015,15471542272,76.0,76.0,1560.0,1005.0,41.526,66.244,,3,2.3525000187873957e-06,0.000308367872246057,0
512,16,0.021069085000021914,399734784,1.4158111888111888,ok,nvml_counter,1.4158111888111888,1.4126233321085246,0,429,72,0.5063874729999043,73,0.5016150149999703,0,4.2349000068497844e-05,372,17,3.0155811050001375,15471542272,75.0,76.0,1560.0,855.0,37.795,66.988,,3,1.0997000003953872e-05,0.0012377622377621744,0
112,4,0.0005653299999721639,18698752,0.039154827651875834,ok,nvml_counter,0.039154827651875834,0.03901174958605289,1,15664,2619,0.5003378900000826,2616,0.5001823819998208,0,7.387999858110561e-06,388,21,3.000121652999951,15471542272,76.0,77.0,1575.0,1410.0,40.834,68.123,,3,2.8000158636132255e-08,0.00012609311334110807,0
64,2,0.00048211599983005726,24117248,0.03445532759761747,ok,nvml_counter,0.03445532759761747,0.034377791991540105,0,18010,3017,0.5001332690001163,3024,0.5002774160000172,0,9.836999879553332e-06,390,21,3.0004144909999013,15471542272,77.0,77.0,1590.0,1575.0,41.921,69.019,,3,1.0200017186434707e-07,1.709376265798812e-05,0
256,128,0.06425286450007661,848732160,4.340574468085107,ok,nvml_counter,4.340574468085107,4.317926692668955,0,141,60,1.285648073999937,60,1.2865421469998637,0,0.0002256010000110109,363,24,3.0246310990000893,15471542272,76.0,76.0,1560.0,840.0,38.092,67.675,,3,6.578000011359109e-06,0.00017021276595841073,0
112,33,0.002689538999902652,41878528,0.18222911051212937,ok,nvml_counter,0.18222911051212937,0.18093053537504047,1,3331,559,0.5016646389999551,563,0.5015830449999612,0,1.853849983035616e-05,379,19,3.002591387999928,15471542272,76.0,77.0,1560.0,1035.0,38.586,66.931,,3,1.506600005996006e-05,2.171646343684941e-05,0
448,2,0.002550281500020901,41025536,0.16848657718120807,ok,nvml_counter,0.16848657718120807,0.16798026267229577,1,3578,596,0.5011713300000338,604,0.5023286090001875,0,1.8188500007454422e-05,375,24,3.0014284320000115,15471542272,77.0,77.0,1575.0,1080.0,39.673,64.182,,3,6.255499897633854e-06,0.00015375895324570843,0
512,1,0.001583619000030012,32210944,0.10844438473938743,ok,nvml_counter,0.10844438473938743,0.10714289865021415,0,5594,939,0.501425792999953,946,0.5005766669999048,0,1.9735999899239687e-05,378,26,3.000383131000035,15471542272,77.0,77.0,1560.0,1110.0,39.475,63.828,,3,2.994000055878132e-06,0.000354969752274753,0
64,33,0.0009968209999442479,23822336,0.06760140562248995,ok,nvml_counter,0.06760140562248995,0.06734160703062035,1,8972,1497,0.5004169769999862,1504,0.5006445940000503,0,1.3007000006837188e-05,385,18,3.0001714370000627,15471542272,76.0,77.0,1575.0,1230.0,40.341,65.4,,3,7.799999366397969e-07,4.266062916551128e-05,0
224,128,0.051459815999919556,655458304,3.4358983050847454,ok,nvml_counter,3.4358983050847454,3.4167357119225836,0,177,60,1.0270198890000302,60,1.0251526499998818,0,0.0001383020000957913,367,22,3.0276453460000994,15471542272,75.0,76.0,1575.0,855.0,41.131,56.135,,3,5.633300020235765e-05,0.0017966101694919523,0
448,256,0.4267187364999927,4672462848,28.358449999999998,ok,nvml_counter,28.358449999999998,28.528054779105723,1,60,60,8.550555846999941,60,8.563685624000072,0,0.0009221340000067357,1009,55,8.53242454600013,15471542272,76.0,77.0,1575.0,840.0,40.736,48.184,,3,0.0008624439999493916,0.026549999999996743,0
128,252,0.03289025249989663,430350336,2.2029347826086956,ok,nvml_counter,2.2029347826086956,2.200373590297592,1,276,60,0.6590972760000113,60,0.6540407180000329,0,0.00014883799997278402,366,19,3.0247626530001526,15471542272,76.0,76.0,1560.0,840.0,39.452,66.145,,3,5.9822000025633315e-05,0.0021521739130436757,0
384,2,0.0018311274999405214,33783808,0.12224056029232643,ok,nvml_counter,0.12224056029232643,0.12180556366567123,0,4927,821,0.500599555000008,832,0.5013525800000025,0,5.220000048211659e-06,378,21,3.000740480999866,15471542272,76.0,77.0,1560.0,1020.0,36.433,66.399,,3,6.415000370907364e-07,0.0002698182180520814,0
368,256,0.29108936050010925,3274448896,19.28065,ok,nvml_counter,19.28065,19.452710718912446,1,60,60,5.826347466000016,60,5.812617115000194,0,0.0006638785000632197,685,42,5.823694997000075,15471542272,76.0,76.0,1575.0,705.0,36.532,66.047,,3,0.0001650149998795314,0.007750000000001478,0
224,16,0.004849687000046288,68780032,0.32757422512234907,ok,nvml_counter,0.32757422512234907,0.3239161314421564,0,1842,312,0.5023376419999295,312,0.501188589999856,0,6.018049998601782e-05,371,24,3.000690896000151,15471542272,76.0,77.0,1545.0,945.0,35.543,67.38,,3,1.7959998785954667e-06,0.0001332912175202039,0
368,16,0.011714664000010089,220643328,0.7915175097276264,ok,nvml_counter,0.7915175097276264,0.7876988785541228,1,770,129,0.5037643430000571,132,0.506462928000019,0,6.643599999733851e-05,372,17,3.0059985249999954,15471542272,77.0,77.0,1560.0,855.0,37.301,67.38,,3,1.4060001376492437e-06,0.0003579766536964124,0
32,1,0.0004873440000210394,18763776,0.027151881943292985,ok,nvml_counter,0.027151881943292985,0.027143393080529467,0,18151,3013,0.5002265870000429,3002,0.5004039860000375,0,2.2800000010647636e-05,398,13,3.0001781220000794,15471542272,76.0,76.0,1590.0,1590.0,47.592,54.003,,3,2.91949993425078e-06,7.030321100226153e-05,0
